SaveData[882], 0x0442,
SaveData[883], 0x043C,
SaveData[884], 0x043D,
SaveData[885], 0x0442,
SaveData[886], 0x043D,
SaveData[887], 0x0441,
SaveData[888], 0x043E,
SaveData[889], 0x0442,
SaveData[890], 0x043F,
SaveData[891], 0x043E,
SaveData[892], 0x043B,
SaveData[893], 0x0442,
SaveData[894], 0x043D,
SaveData[895], 0x0442,
SaveData[896], 0x043A,
SaveData[897], 0x0442,
SaveData[898], 0x0440,
SaveData[899], 0x0440,
SaveData[900], 0x043E,
SaveData[901], 0x0442,
SaveData[902], 0x043E,
SaveData[903], 0x0442,
SaveData[904], 0x043C,
SaveData[905], 0x0440,
SaveData[906], 0x0440,
SaveData[907], 0x043D,
SaveData[908], 0x043E,
SaveData[909], 0x043E,
SaveData[910], 0x0439,
SaveData[911], 0x0444,
SaveData[912], 0x043A,
SaveData[913], 0x0441,
SaveData[914], 0x0441,
SaveData[915], 0x043C,
SaveData[916], 0x0440,
SaveData[917], 0x0442,
SaveData[918], 0x043A,
SaveData[919], 0x0441,
SaveData[920], 0x043B,
SaveData[921], 0x043C,
SaveData[922], 0x043F,
SaveData[923], 0x043D,
SaveData[924], 0x043F,
SaveData[925], 0x043E,
SaveData[926], 0x043E,
SaveData[927], 0x0444,
SaveData[928], 0x043A,
SaveData[929], 0x043F,
SaveData[930], 0x0442,
SaveData[931], 0x0438,
SaveData[932], 0x043F,
SaveData[933], 0x0440,
SaveData[934], 0x043E,
SaveData[935], 0x0442,
SaveData[936], 0x043B,
SaveData[937], 0x043E,
SaveData[938], 0x0442,
SaveData[939], 0x0440,
SaveData[940], 0x043B,
SaveData[941], 0x0441,
SaveData[942], 0x043D,
SaveData[943], 0x043E,
SaveData[944], 0x043A,
SaveData[945], 0x043E,
SaveData[946], 0x0441,
SaveData[947], 0x043D,
SaveData[948], 0x043F,
SaveData[949], 0x043F,
SaveData[950], 0x043B,
SaveData[951], 0x0442,
SaveData[952], 0x043C,
SaveData[953], 0x043E,
SaveData[954], 0x0443,
SaveData[955], 0x043F,
SaveData[956], 0x0439,
SaveData[957], 0x043D,
SaveData[958], 0x043B,
SaveData[959], 0x043F,
SaveData[960], 0x043C,
SaveData[961], 0x0441,
SaveData[962], 0x043F,
SaveData[963], 0x0439,
SaveData[964], 0x043F,
SaveData[965], 0x043F,
SaveData[966], 0x043C,
SaveData[967], 0x043D,
SaveData[968], 0x043B,
SaveData[969], 0x043F,
SaveData[970], 0x0441,
SaveData[971], 0x043F,
SaveData[972], 0x0439,
SaveData[973], 0x043F,
SaveData[974], 0x043D,
SaveData[975], 0x043F,
SaveData[976], 0x043D,
SaveData[977], 0x043F,
SaveData[978], 0x043F,
SaveData[979], 0x043D,
SaveData[980], 0x043F,
SaveData[981], 0x0441,
SaveData[982], 0x043D,
SaveData[983], 0x0441,
SaveData[984], 0x043B,
SaveData[985], 0x043F,
SaveData[986], 0x043F,
SaveData[987], 0x043D,
SaveData[988], 0x043D,
SaveData[989], 0x043D,
SaveData[990], 0x043F,
SaveData[991], 0x043F,
SaveData[992], 0x0439,
SaveData[993], 0x0441,
SaveData[994], 0x0441,
SaveData[995], 0x043F,
SaveData[996], 0x043D,
SaveData[997], 0x043F,
SaveData[998], 0x043B,
